group_code,group_name,cust_name,acc_manager,acc_num,date,year,month,total_distribution,total_energy,peak_max,offpeak_max,present_bill,proposed_bill,dollar_difference,percent_diff,rate_class
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201401,2014,Jan,97.4,53840,97.4,98.4,5392.97,5538.76,145.79,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201402,2014,Feb,92.2,54200,92.2,98.9,5427.24,5535.12,107.88,0.02,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201403,2014,Mar,91.5,48840,91.52,93.8,4893.33,4961.73,68.4,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201404,2014,Apr,95.6,49680,95.6,100.72,4979.13,5099.24,120.11,0.024,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201405,2014,May,97.8,51480,97.84,100.9,5158.94,5300.27,141.33,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201406,2014,Jun,104.2,57760,104.2,102.6,5787.18,5908.11,120.92,0.021,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201407,2014,Jul,87.2,15640,87.2,84.8,1574.7,1619.18,44.48,0.028,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201408,2014,Aug,105.8,54400,105.8,103.04,5447.5,5512.85,65.35,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201409,2014,Sep,94.3,59120,94.32,98.1,5925.43,6039.28,113.85,0.019,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201410,2014,Oct,94.2,51120,94.2,104.64,5117.67,5259.17,141.5,0.028,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201411,2014,Nov,93.7,49840,93.7,101.6,4996.8,5134.27,137.47,0.028,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201412,2014,Dec,90.7,56680,90.72,105.3,5681.76,5759.89,78.13,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201401,2014,Jan,87.4,54560,87.4,87.04,5461.04,5609.01,147.97,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201402,2014,Feb,89.3,45120,89.3,88,4518.06,4653.02,134.96,0.03,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201403,2014,Mar,87,44480,87.04,86.1,4456.08,4539,82.93,0.019,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201404,2014,Apr,90.2,44960,90.24,89,4502.71,4619.18,116.47,0.026,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201405,2014,May,88.3,48960,88.32,86.1,4902.54,4970.5,67.96,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201406,2014,Jun,96.6,50080,96.64,89.92,5014.6,5076.95,62.35,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201407,2014,Jul,103.4,53600,103.4,97.6,5369.78,5518,148.22,0.028,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201408,2014,Aug,96,52640,96,93.12,5276.31,5357.45,81.15,0.015,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201409,2014,Sep,101.1,51360,101.12,94.4,5142.24,5195.09,52.85,0.01,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201410,2014,Oct,87,47040,87.04,93.8,4716.96,4778.03,61.07,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201411,2014,Nov,88.3,45760,88.32,83.84,4590.32,4652.12,61.8,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201412,2014,Dec,87,52960,87.04,86.4,5300.96,5442.19,141.23,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201401,2014,Jan,95,62880,95.04,92.3,6294.84,6393.73,98.89,0.016,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201402,2014,Feb,89.7,55080,89.7,92.2,5522.48,5620.9,98.43,0.018,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201403,2014,Mar,88.8,48600,88.84,98.32,4867.41,4936.58,69.17,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201404,2014,Apr,89,48400,89,90.3,4851.83,4929.8,77.96,0.016,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201405,2014,May,90.3,50480,90.3,91,5055.05,5191.37,136.32,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201406,2014,Jun,91.1,57320,91.12,93,5743.27,5852.15,108.88,0.019,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201407,2014,Jul,97.3,53880,97.32,91.72,5400.57,5481.97,81.4,0.015,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201408,2014,Aug,103.4,57000,103.4,96.6,5713.51,5783.29,69.78,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201409,2014,Sep,94.7,34720,94.72,96.6,3484.68,3578.84,94.16,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201410,2014,Oct,85.1,47680,85.1,88.7,4782.14,4906.93,124.79,0.026,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201411,2014,Nov,81.9,42640,81.92,87.7,4274.49,4366.09,91.61,0.021,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201412,2014,Dec,92.3,47960,92.3,87.7,4805.7,4937.17,131.46,0.027,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201401,2014,Jan,89,52480,89,87.2,5255.55,5362.21,106.66,0.02,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201402,2014,Feb,83.2,45760,83.2,84.1,4584.91,4637.76,52.85,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201403,2014,Mar,84.3,43600,84.32,85,4370.62,4421.19,50.57,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201404,2014,Apr,85.8,43920,85.8,85.2,4400.65,4508.34,107.69,0.024,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201405,2014,May,83.8,49520,83.8,89.3,4959.73,5061.82,102.09,0.021,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201406,2014,Jun,88.6,49680,88.64,87,4981.62,5032.27,50.65,0.01,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201407,2014,Jul,100,49280,100,92.8,4942.76,5053.25,110.48,0.022,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201408,2014,Aug,100,56080,100,92.8,5614.13,5726.64,112.51,0.02,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201409,2014,Sep,91.2,50880,91.2,90.4,5096.67,5168.24,71.57,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201410,2014,Oct,91.2,45360,91.2,92,4548.5,4659.09,110.59,0.024,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201411,2014,Nov,92,46800,92,92,4692.28,4753.3,61.03,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2427055028,201412,2014,Dec,85.2,57840,85.2,91.52,5791.27,5908.39,117.12,0.02,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201501,2015,Jan,65.98,88359,39.13,20.9,8846.36,8990.56,144.2,0.016,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201502,2015,Feb,41.62,70548,19.7,93.04,7066.82,7136.49,69.67,0.01,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201503,2015,Mar,29.98,79533,66.54,6.98,7960.05,8127.55,167.5,0.021,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201504,2015,Apr,46.07,32160,2.78,62.19,3226.2,3269.77,43.57,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201505,2015,May,79.96,16919,90.62,69.87,1703.35,1773.43,70.08,0.041,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201506,2015,Jun,80.95,97055,63.85,23.93,9717.71,9897.79,180.08,0.019,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201507,2015,Jul,45.7,6809,71.91,29.03,687.45,790.3,102.85,0.15,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201508,2015,Aug,97.56,2916,72.12,15.39,303.54,331.19,27.65,0.091,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201509,2015,Sep,16.67,27349,25.71,51.4,2742.07,2856.64,114.57,0.042,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201510,2015,Oct,91.17,77166,9.59,17.46,7728.38,7862.75,134.37,0.017,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201511,2015,Nov,79.77,67838,41.45,77.29,6791.64,6930.04,138.4,0.02,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,5523100505,201512,2015,Dec,71.44,97217,25.39,39.63,9729.74,9828.19,98.45,0.01,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201501,2015,Jan,44.88,78507,80.37,1.3,7854.08,7957.4,103.33,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201502,2015,Feb,6.89,70769,79.9,18.07,7082.15,7163.3,81.15,0.011,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201503,2015,Mar,14.59,42121,55.3,31.95,4216.43,4282.37,65.95,0.016,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201504,2015,Apr,4.17,5505,50.89,90.97,553.5,609.74,56.24,0.102,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201505,2015,May,86.7,57133,25.91,1.59,5722.45,5840.39,117.94,0.021,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201506,2015,Jun,25.86,52722,15.1,37.38,5277.16,5343.56,66.4,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201507,2015,Jul,86.23,66677,36.59,99.64,6672.67,6835.92,163.25,0.024,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201508,2015,Aug,60.18,66853,74.89,48.99,6692.96,6819.47,126.51,0.019,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201509,2015,Sep,99.77,29762,93.14,7.64,2985.56,3025.1,39.55,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201510,2015,Oct,27.79,56524,51.58,55.23,5658.48,5723.97,65.49,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201511,2015,Nov,68.34,61408,42.44,10.62,6149.43,6251.72,102.29,0.017,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2028401407,201512,2015,Dec,32.92,68113,12.29,84.37,6820.7,6951.55,130.85,0.019,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201501,2015,Jan,14.8,66610,37.39,78.84,6671.2,6763.43,92.23,0.014,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201502,2015,Feb,5.39,78012,64.1,22.94,7803.43,7908.36,104.93,0.013,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201503,2015,Mar,28.84,72673,67.07,56.85,7275.69,7364.26,88.56,0.012,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201504,2015,Apr,31.43,84971,67.15,21.68,8506.17,8637.84,131.67,0.015,GS 100-500 kW
333,WAWA INC,WAWA,Frank Kingsly,2739400302,201505,2015,May,56.97,45381,34.39,99.72,4550.35,4674.95,124.59,0.027,GS 100-500 kW
